%File: MA_CRP_09032023.CRS
%DIDACTA Italia:
%Exercise on: C.R.P. OpenLoop

%Test Date: 05/09/2000   User:                               

%Test #: 0

%Sample Rate: 1 s

%Notes: 


%----------
% #       time  Out.Sig  Act.Sig    Noise       SP      
%        [sec]      [%]      [%]      [%]      [%]      
000       1.0     55.3      0.0      0.0     50.0
001       2.0     55.3      0.0      0.0     50.0
002       3.0     55.4      0.0      0.0     50.0
003       4.0     55.4      0.0      0.0     50.0
004       5.0     55.4      0.0      0.0     50.0
005       6.0     55.3      0.0      0.0     50.0
006       7.0     55.5      0.0      0.0     50.0
007       8.0     55.3      0.0      0.0     50.0
008       9.0     55.4      0.0      0.0     50.0
009      10.0     55.5      0.0      0.0     50.0
010      11.0     55.4      0.0      0.0     50.0
011      12.0     55.5      0.0      0.0     50.0
012      13.0     55.4      0.0      0.0     50.0
013      14.0     55.4      0.0      0.0     50.0
014      15.0     55.5      0.0      0.0     50.0
015      16.0     55.5      0.0      0.0     50.0
016      17.0     55.4      0.0      0.0     50.0
017      18.0     55.4      0.0      0.0     50.0
018      19.0     55.5      0.0      0.0     50.0
019      20.0     55.4      0.0      0.0     50.0
020      21.0     55.5      0.0      0.0     50.0
021      22.0     55.5      0.0      0.0     50.0
022      23.0     55.5      0.0      0.0     50.0
023      24.0     55.6      0.0      0.0     50.0
024      25.0     55.6      0.0      0.0     50.0
025      26.0     55.5      0.0      0.0     50.0
026      27.0     55.6      0.0      0.0     50.0
027      28.0     55.6      0.0      0.0     50.0
028      29.0     55.6      0.0      0.0     50.0
029      30.0     55.6      0.0      0.0     50.0
030      31.0     55.6      0.0      0.0     50.0
031      32.0     55.6      0.0      0.0     50.0
032      33.0     55.5      0.0      0.0     50.0
033      34.0     55.7      0.0      0.0     50.0
034      35.0     55.6      0.0      0.0     50.0
035      36.0     55.6      0.0      0.0     50.0
036      37.0     55.8      0.0      0.0     50.0
037      38.0     55.7      0.0      0.0     50.0
038      39.0     55.8      0.0      0.0     50.0
039      40.0     55.7      0.0      0.0     50.0
040      41.0     55.7      0.0      0.0     50.0
041      42.0     55.7      0.0      0.0     50.0
042      43.0     55.8      0.0      0.0     50.0
043      44.0     55.6      0.0      0.0     50.0
044      45.0     55.7      0.0      0.0     50.0
045      46.0     55.6      0.0      0.0     50.0
046      47.0     55.7      0.0      0.0     50.0
047      48.0     55.8      0.0      0.0     50.0
048      49.0     55.7      0.0      0.0     50.0
049      50.0     55.8     20.0      0.0     50.0
050      51.0     55.7     20.0      0.0     50.0
051      52.0     55.8     20.0      0.0     50.0
052      53.0     55.7     20.0      0.0     50.0
053      54.0     55.7     20.0      0.0     50.0
054      55.0     55.7     20.0      0.0     50.0
055      56.0     55.7     20.0      0.0     50.0
056      57.0     55.6     20.0      0.0     50.0
057      58.0     55.8     20.0      0.0     50.0
058      59.0     55.7     20.0      0.0     50.0
059      60.0     55.9     20.0      0.0     50.0
060      61.0     55.9     20.0      0.0     50.0
061      62.0     55.7     20.0      0.0     50.0
062      63.0     55.9     20.0      0.0     50.0
063      64.0     55.8     20.0      0.0     50.0
064      65.0     55.8     20.0      0.0     50.0
065      66.0     55.8     20.0      0.0     50.0
066      67.0     55.9     20.0      0.0     50.0
067      68.0     55.8     20.0      0.0     50.0
068      69.0     55.8     20.0      0.0     50.0
069      70.0     55.9     20.0      0.0     50.0
070      71.0     56.0     20.0      0.0     50.0
071      72.0     55.8     20.0      0.0     50.0
072      73.0     55.9     20.0      0.0     50.0
073      74.0     56.0     20.0      0.0     50.0
074      75.0     55.9     20.0      0.0     50.0
075      76.0     55.8     20.0      0.0     50.0
076      77.0     55.9     20.0      0.0     50.0
077      78.0     55.8     20.0      0.0     50.0
078      79.0     56.0     20.0      0.0     50.0
079      80.0     55.9     20.0      0.0     50.0
080      81.0     55.9     20.0      0.0     50.0
081      82.0     56.0     20.0      0.0     50.0
082      83.0     54.0     20.0      0.0     50.0
083      84.0     51.0     20.0      0.0     50.0
084      85.0     50.4     20.0      0.0     50.0
085      86.0     51.5     20.0      0.0     50.0
086      87.0     52.4     20.0      0.0     50.0
087      88.0     52.3     20.0      0.0     50.0
088      89.0     52.1     20.0      0.0     50.0
089      90.0     51.9     20.0      0.0     50.0
090      91.0     51.8     20.0      0.0     50.0
091      92.0     51.5     20.0      0.0     50.0
092      93.0     51.5     20.0      0.0     50.0
093      94.0     51.5     20.0      0.0     50.0
094      95.0     51.4     20.0      0.0     50.0
095      96.0     51.3     20.0      0.0     50.0
096      97.0     51.3     20.0      0.0     50.0
097      98.0     51.2     20.0      0.0     50.0
098      99.0     51.2     20.0      0.0     50.0
099     100.0     51.2     20.0      0.0     50.0
100     101.0     51.0     20.0      0.0     50.0
101     102.0     51.2     20.0      0.0     50.0
102     103.0     51.2     20.0      0.0     50.0
103     104.0     51.0     20.0      0.0     50.0
104     105.0     51.0     20.0      0.0     50.0
105     106.0     51.0     20.0      0.0     50.0
106     107.0     51.0     20.0      0.0     50.0
107     108.0     51.0     20.0      0.0     50.0
108     109.0     51.0     20.0      0.0     50.0
